Date,Open,High,Low,Close,TVSMOTOR,Volume
20-09-2023,1524.5,1533.400024,1508.949951,1512.099976,1512.099976,537988
21-09-2023,1506,1510,1492.099976,1498.900024,1498.900024,542059
22-09-2023,1489.949951,1498.5,1483.099976,1494.099976,1494.099976,1048434
25-09-2023,1498,1521.150024,1489.300049,1515.550049,1515.550049,1238681
26-09-2023,1522.800049,1544,1517.199951,1531,1531,1247558
27-09-2023,1531.800049,1534.800049,1519.050049,1528.25,1528.25,1087855
28-09-2023,1529.900024,1546.599976,1512.550049,1523.900024,1523.900024,4734327
29-09-2023,1516.5,1535.050049,1499.949951,1521.800049,1521.800049,775781
03-10-2023,1537.050049,1544.599976,1521.849976,1530,1530,791678
04-10-2023,1530,1530,1492.949951,1496.050049,1496.050049,797755
05-10-2023,1507,1514.349976,1489.449951,1498.150024,1498.150024,586529
06-10-2023,1504,1516.599976,1495,1501.25,1501.25,537906
